,vocab,sound,pos,cefr_level,definition
2167,package,ˈpæk.ɪdʒ,noun,B2,"an object or set of objects wrapped in paper, usually in order to be sent by post."
2168,package,ˈpæk.ɪdʒ,verb,none,to put goods into boxes or containers to be sold.
2169,page,peɪdʒ,noun,A1,"a side of one of the pieces of paper in a book, newspaper, or magazine, usually with a number printed on it."
2170,page,peɪdʒ,verb,none,to call a person using a loudspeaker (= an electric device for making sounds louder) in a public place.
2171,pain,peɪn,noun,A2,a feeling of physical suffering caused by injury or illness.
2172,pain,peɪn,verb,none,"If something pains you, it causes you to feel sad and upset."
2173,painful,ˈpeɪn.fəl,adjective,B1,causing emotional or physical pain.
2174,paint,peɪnt,noun,A1,a coloured liquid that is put on a surface such as a wall to decorate it.
2175,paint,peɪnt,verb,A2,to cover a surface with paint.
2176,painter,ˈpeɪn.tər,noun,A2,someone who paints pictures.
2177,painting,ˈpeɪn.tɪŋ,noun,A2,a picture made using paint.
2178,pair,peər,noun,A2,"two things of the same appearance and size that are intended to be used together, or something that consists of two parts joined together."
2179,pair,peər,verb,none,"to make something one of a pair, or to become one of a pair."
2180,palace,ˈpæl.ɪs,noun,B1,"a large house that is the official home of a king, queen, or other person of high social rank."
2181,pale,peɪl,adjective,B2,"used to describe a person's face or skin if it has less colour than usual, for example when the person is or ill or frightened, or if it has less colour than people generally have."
2182,pale,peɪl,verb,none,"If a person's face pales, it loses its usual colour."
2183,pan,pæn,noun,B1,"a metal container that is round and often has a long handle and a lid, used for cooking things on top of a cooker."
2184,pan,pæn,verb,none,(of a video camera) to move slowly from one side to another or up and down.
2185,pan,pæn,adjective,none,"short for
pansexual sexually or romantically attracted to people of any gender."
2186,panel,ˈpæn.əl,noun,C1,"a small group of people chosen to give advice, make a decision, or publicly discuss their opinions as entertainment."
2187,panel,ˈpæn.əl,verb,none,"to cover or decorate with flat, usually rectangular pieces of wood, metal, cloth, etc.."
2188,pants,pænts,noun,B1,a piece of underwear covering the area between the waist and the tops of the legs.
2189,pants,pænts,adjective,none,not useful or of bad quality.
2190,paper,ˈpeɪ.pər,noun,A1,"thin, flat material made from crushed wood or cloth, used for writing, printing, or drawing on."
2191,paper,ˈpeɪ.pər,verb,none,"to cover a wall, room, etc. with wallpaper."
2192,paragraph,ˈpær.ə.ɡrɑːf,noun,B1,"a short part of a text, consisting of at least one sentence and beginning on a new line. It usually deals with a single event, description, idea, etc.."
2193,parent,ˈpeə.rənt,noun,A1,"a mother or father of a person or an animal, or someone who looks after a person in the same way that a parent does."
2194,parent,ˈpeə.rənt,verb,none,to raise a child as their parent.
2195,park,pɑːk,noun,A1,"a large area of land with grass and trees, usually surrounded by fences or walls, and specially arranged so that people can walk in it for pleasure or children can play in it."
2196,park,pɑːk,verb,A2,"to put a vehicle in a place where it can stay for a period of time, usually while you leave it."
2197,parking,ˈpɑː.kɪŋ,noun,B1,leaving a vehicle in a particular place for a period of time.
2198,parliament,ˈpɑː.lɪ.mənt,noun,B2,"in some countries, the group of (usually) elected politicians or other people who make the laws for their country."
2199,part,pɑːt,noun,A2,some but not all of a thing.
2200,part,pɑːt,verb,C2,to separate or cause something or someone to separate.
2201,part,pɑːt,adverb,none,partly.
2202,part,pɑːt,adjective,none,not total or complete.
2203,participant,pɑːˈtɪs.ɪ.pənt,noun,C1,a person who takes part in or becomes involved in a particular activity.
2204,participate,pɑːˈtɪs.ɪ.peɪt,verb,B2,to take part in or become involved in an activity.
2205,particular,pəˈtɪk.jə.lər,adjective,B2,"special, or this and not any other."
2206,particular,pəˈtɪk.jə.lər,noun,none,"details or information about a person or an event, especially when officially recorded."
2207,particularly,pəˈtɪk.jə.lə.li,adverb,B1,"especially, or more than usual."
2208,partly,ˈpɑːt.li,adverb,B1,"to some degree, but not completely."
2209,partner,ˈpɑːt.nər,noun,none,a person or organization you are closely involved with in some way.
2210,partner,ˈpɑːt.nər,verb,none,"to act as someone's partner in a sport, game, dance, or activity, or to choose someone to do this."
2211,party,ˈpɑː.ti,noun,A1,"a social event at which a group of people meet to talk, eat, drink, dance, etc., often in order to celebrate a special occasion."
2212,party,ˈpɑː.ti,verb,none,"to enjoy yourself by drinking and dancing, especially at a party."
2213,pass,pɑːs,verb,B1,"to go past something or someone or move in relation to it, him, or her."
2214,pass,pɑːs,noun,B2,a successful result in an exam.
2215,passage,ˈpæs.ɪdʒ,noun,B2,"a usually long and narrow part of a building with rooms on one or both sides, or a covered path that connects places."
2216,passenger,ˈpæs.ən.dʒər,noun,A2,"a person who is travelling in a vehicle but is not driving it, flying it, or working on it."
2217,passion,ˈpæʃ.ən,noun,B2,"a very powerful feeling, for example of sexual attraction, love, hate, anger, or other emotion."
2218,passport,ˈpɑːs.pɔːt,noun,A2,an official document containing personal information and usually a photograph that allows a person to travel to foreign countries and to prove who they are.
2219,past,pɑːst,preposition,A2,in or to a position that is further than a particular point.
2220,past,pɑːst,adjective,B1,used to refer to a period of time before and until the present.
2221,past,pɑːst,noun,B1,"the period before and until, but not including, the present time."
2222,path,pɑːθ,noun,A2,"a route or track between one place and another, or the direction in which something is moving."
2223,patient,ˈpeɪ.ʃənt,noun,B1,"a person who is receiving medical care, or who is cared for by a particular doctor or dentist when necessary."
2224,patient,ˈpeɪ.ʃənt,adjective,B1,having patience.
2225,pattern,ˈpæt.ən,noun,B2,"a particular way in which something is done, is organized, or happens."
2226,pay,peɪ,verb,A1,to give money to someone for something you want to buy or for services provided.
2227,pay,peɪ,noun,B1,the money you receive for doing a job.
2228,payment,ˈpeɪ.mənt,noun,B2,an amount of money paid.
2229,peace,piːs,noun,B2,"freedom from war and violence, especially when people live and work together happily without disagreements."
2230,peaceful,ˈpiːs.fəl,adjective,B2,without violence.
2231,pen,pen,noun,A1,"a long, thin object used for writing or drawing with ink."
2232,pen,pen,verb,none,to write something.
2233,pencil,ˈpen.səl,noun,A1,"a long, thin object, usually made of wood, for writing or drawing, with a sharp black or coloured point at one end."
2234,pencil,ˈpen.səl,adjective,none,used to describe something that has been drawn with a pencil.
2235,pencil,ˈpen.səl,verb,none,to write something with a pencil.
2236,penny,ˈpen.i,noun,B1,"the smallest unit of money in the UK, of which there are 100 in a pound, or a small coin worth this much. You use ""pence"" or, more informally, ""p"" when you are talking about the units of money and pennies when you are talking about the coins themselves."
2237,pension,ˈpen.ʃən,noun,B2,an amount of money paid regularly by the government or a private company to a person who does not work any more because they are too old or have become ill.
2238,people,ˈpiː.pəl,noun,A1,"men, women, and children."
2239,people,ˈpiː.pəl,noun,none,"all the men, women, and children who live in a particular country, or who have the same culture or language."
2240,pepper,ˈpep.ər,noun,A2,"a grey or white powder produced by crushing dry peppercorns, used to give a spicy, hot taste to food."
2241,per,pɜːr,preposition,A2,"used when expressing rates, prices, or measurements to mean ""for each""."
2242,per cent,pəˌsent ˈpɒz.ə.tɪv,noun,none,"the number of all tests for an illness that are positive (= show that someone has the illness), expressed as a number out of a hundred."
2243,percentage,pəˈsen.tɪdʒ,noun,B2,"an amount of something, often expressed as a number out of 100."
2244,perfect,ˈpɜː.fekt,adjective,A2,"complete and correct in every way, of the best possible type or without fault."
2245,perfect,ˈpɜː.fekt,noun,B2,the tense of a verb that shows action that has happened in the past or before another time or event.
2246,perfect,pəˈfekt,verb,C2,to make something free from faults.
2247,perfectly,ˈpɜː.fekt.li,adverb,B1,in a perfect way.
2248,perform,pəˈfɔːm,verb,B2,to do an action or piece of work.
2249,performance,pəˈfɔː.məns,noun,B2,"how well a person, machine, etc. does a piece of work or an activity."
2250,perhaps,pəˈhæps,adverb,A2,used to show that something is possible or that you are not certain about something.
2251,period,ˈpɪə.ri.əd,noun,B1,a length of time.
2252,period,ˈpɪə.ri.əd,adjective,none,the clothes or furniture of a particular time in history.
2253,permanent,ˈpɜː.mə.nənt,adjective,B1,lasting for a long time or for ever.
2254,permanent,ˈpɜː.mə.nənt,noun,none,"a chemical process that makes your hair curly, or a hairstyle that is created in this way."
2255,permission,pəˈmɪʃ.ən,noun,B1,"If someone is given permission to do something, they are allowed to do it."
2256,permit,pəˈmɪt,verb,B1,to allow something.
2257,permit,ˈpɜː.mɪt,noun,C1,an official document that allows you to do something or go somewhere.
2258,person,ˈpɜː.sən,noun,A1,"a man, woman, or child."
2259,personal,ˈpɜː.sən.əl,adjective,B1,relating or belonging to a single or particular person rather than to a group or an organization.
2260,personal,ˈpɜː.sən.əl,noun,none,the part of a newspaper or magazine that contains short advertisements and private messages.
2261,personality,ˌpɜː.sənˈæl.ə.ti,noun,B2,"the type of person you are, shown by the way you behave, feel, and think."
2262,personally,ˈpɜː.sən.əl.i,adverb,B1,used when you give your opinion.
2263,perspective,pəˈspek.tɪv,noun,C1,a particular way of considering something.
2264,persuade,pəˈsweɪd,verb,B1,to make someone do or believe something by giving them a good reason to do it or by talking to that person and making them believe it.
2265,pet,pet,noun,A1,an animal that is kept in the home as a companion and treated kindly.
2266,pet,pet,verb,none,"If you pet an animal, child, etc., you touch it, him, or her gently and kindly with your hands."
2267,pet,pet,adjective,none,"a theory, subject, hate, etc. that is special and important to you."
2268,petrol,ˈpet.rəl,noun,A2,"a liquid obtained from petroleum, used especially as a fuel for cars and other vehicles."
2269,phase,feɪz,noun,B2,any stage in a series of events or in a process of development.
2270,phase,feɪz,verb,none,to introduce something in stages over a particular period of time.
2271,phenomenon,fəˈnɒm.ɪ.nən,noun,C1,"something that exists and can be seen, felt, tasted, etc., especially something unusual or interesting."
2272,philosophy,fɪˈlɒs.ə.fi,noun,B2,"the use of reason in understanding such things as the nature of the real world and existence, the use and limits of knowledge, and the principles of moral judgment."
